,Stock,Date
0,A32,2018-10-23
1,AAA,2016-10-06
2,AAM,2009-07-13
3,AAS,2020-07-23
4,AAT,2020-12-29
5,AAV,2018-06-25
6,ABB,2020-12-28
7,ABC,2016-08-18
8,ABI,2009-07-16
9,ABR,2021-12-24
10,ABS,2019-12-27
11,ABT,2006-12-06
12,ABW,2023-05-30
13,ACB,2020-11-20
14,ACC,2011-06-17
15,ACE,2009-11-10
16,ACG,2022-08-25
17,ACL,2007-08-23
18,ACM,2022-07-19
19,ACS,2017-07-13
20,ACV,2016-11-21
21,ADC,2010-12-24
22,ADG,2020-12-28
23,ADP,2023-06-29
24,ADS,2016-06-22
25,AFX,2016-12-02
26,AG1,2018-01-10
27,AGE,
28,AGF,2020-02-24
29,AGG,2019-12-17
30,AGM,2012-09-14
31,AGP,2015-10-06
32,AGR,2009-12-02
33,AGX,2015-09-14
34,AIC,2021-01-08
35,ALT,2009-07-27
36,ALV,2019-06-21
37,AMC,2012-02-15
38,AMD,2015-06-08
39,AME,2010-06-02
40,AMP,2017-01-12
41,AMS,2017-02-06
42,AMV,2009-12-20
43,ANT,2016-12-22
44,ANV,2007-11-28
45,APC,2024-05-15
46,APF,2017-06-08
47,APG,2016-09-23
48,APH,2020-07-14
49,API,2010-09-13
50,APL,2016-10-14
51,APP,2022-08-03
52,APS,2010-04-19
53,APT,2019-06-07
54,ARM,2010-10-26
55,ART,2023-08-25
56,ASA,2019-06-21
57,ASG,2020-07-17
58,ASM,2009-12-24
59,ASP,2008-02-01
60,AST,2017-12-26
61,ATA,2017-02-17
62,ATB,2017-08-25
63,ATG,2021-05-14
64,ATS,2016-03-29
65,AVC,2018-01-08
66,AVF,2015-06-18
67,B82,
68,BAB,2021-03-03
69,BAF,2021-11-24
70,BAL,2018-01-12
71,BAX,2017-03-24
72,BBC,2001-12-17
73,BBH,2020-05-14
74,BBM,2018-01-05
75,BBS,2005-12-28
76,BBT,2018-06-12
77,BCA,2021-09-08
78,BCB,2018-10-29
79,BCC,2006-11-24
80,BCE,2010-06-15
81,BCF,2020-03-16
82,BCG,2015-07-08
83,BCM,2020-07-31
84,BCO,2023-12-04
85,BCP,2015-09-14
86,BCV,2021-03-16
87,BDB,2010-01-29
88,BDG,2016-04-06
89,BDT,2017-09-06
90,BDW,2015-10-14
91,BED,2009-10-21
92,BEL,2016-07-12
93,BFC,2015-08-27
94,BGW,2017-10-31
95,BHA,2017-08-02
96,BHC,2015-04-10
97,BHG,2018-10-30
98,BHI,2023-07-21
99,BHK,2018-04-05
100,BHN,2016-12-30
101,BHP,2013-01-21
102,BIC,2011-06-20
103,BID,2014-01-16
104,BIG,2022-01-10
105,BII,2023-05-31
106,BIO,2018-08-30
107,BKC,2009-08-18
108,BKG,2020-12-21
109,BKH,
110,BLF,2023-12-18
111,BLI,2015-12-11
112,BLN,2016-09-09
113,BLT,2017-07-10
114,BLW,
115,BMC,2006-12-12
116,BMD,2017-06-14
117,BMF,2018-04-16
118,BMG,2018-12-25
119,BMI,2008-04-11
120,BMJ,2009-12-22
121,BMN,2016-04-06
122,BMP,2006-06-12
123,BMS,2018-08-08
124,BMV,2017-06-06
125,BNA,2020-10-12
126,BNW,2018-12-28
127,BOT,2019-02-14
128,BPC,2009-06-08
129,BQB,2018-01-09
130,BRC,2011-10-27
131,BRR,2017-06-16
132,BRS,2017-01-24
133,BSA,2018-08-20
134,BSC,2011-01-05
135,BSD,2017-04-28
136,BSG,2016-11-21
137,BSH,2018-07-04
138,BSI,2011-07-13
139,BSL,2017-06-16
140,BSP,2016-08-10
141,BSQ,2017-02-28
142,BSR,2018-03-01
143,BST,2008-12-18
144,BT1,2016-11-09
145,BT6,2017-03-06
146,BTB,2017-01-12
147,BTD,2017-03-02
148,BTG,2010-03-24
149,BTH,2017-09-27
150,BTN,2018-01-05
151,BTP,2009-11-17
152,BTS,2006-12-05
153,BTT,2010-03-04
154,BTU,2016-03-11
155,BTV,2017-03-03
156,BTW,2017-11-14
157,BVB,2020-07-09
158,BVG,2015-11-20
159,BVH,2009-06-16
160,BVL,2021-06-11
161,BVN,2011-10-11
162,BVS,2006-12-18
163,BWA,2010-06-14
164,BWE,2017-07-05
165,BWS,2017-11-28
166,BXH,2009-11-25
167,C12,2016-12-26
168,C21,2016-11-01
169,C22,2018-05-24
170,C32,2012-09-06
171,C47,2011-03-21
172,C4G,2018-12-10
173,C69,2017-04-21
174,C92,2022-08-03
175,CAB,2019-09-06
176,CAD,2012-11-01
177,CAG,2017-12-04
178,CAN,2009-06-12
179,CAP,2008-01-09
180,CAR,2024-10-23
181,CAT,2018-03-23
182,CAV,
183,CBI,2017-09-28
184,CBS,2017-06-20
185,CC1,2017-07-20
186,CC4,2017-07-28
187,CCA,2019-12-26
188,CCI,2010-04-07
189,CCL,2011-01-21
190,CCM,2018-07-06
191,CCP,2017-03-16
192,CCR,2021-11-19
193,CCT,2017-06-30
194,CCV,2017-01-09
195,CDC,2010-08-27
196,CDG,2017-02-27
197,CDH,2016-06-23
198,CDN,2016-11-30
199,CDO,2018-10-05
200,CDP,2018-07-13
201,CDR,2017-06-26
202,CE1,2017-04-10
203,CEG,2017-05-17
204,CEN,2018-06-15
205,CEO,2014-09-29
206,CET,2017-07-28
207,CFM,2021-01-25
208,CFV,2019-06-03
209,CGV,2017-06-21
210,CH5,2017-06-14
211,CHC,2017-02-16
212,CHP,2016-08-10
213,CHS,2017-01-12
214,CI5,2011-07-01
215,CIA,2017-11-29
216,CID,2016-05-10
217,CIG,2011-07-01
218,CII,2006-02-24
219,CIP,2017-09-27
220,CJC,2006-12-14
221,CK8,2023-01-06
222,CKA,2018-10-17
223,CKD,2015-05-21
224,CKG,2019-12-27
225,CKV,2010-03-11
226,CLC,2006-10-18
227,CLG,2021-05-05
228,CLH,2016-06-07
229,CLL,2014-05-19
230,CLM,2016-04-15
231,CLW,2010-10-20
232,CLX,2017-03-01
233,CMC,2006-12-11
234,CMD,2019-07-05
235,CMF,2016-11-30
236,CMG,2010-01-13
237,CMI,2019-06-14
238,CMK,2015-10-21
239,CMM,2022-11-08
240,CMN,2017-07-10
241,CMP,2016-02-15
242,CMS,2010-11-29
243,CMT,2019-04-24
244,CMV,2010-06-09
245,CMW,2017-04-10
246,CMX,2010-11-02
247,CNA,2021-12-09
248,CNC,2014-06-25
249,CNG,2011-11-14
250,CNN,2016-06-01
251,CNT,2015-03-17
252,COM,2006-05-12
253,CPA,2019-12-30
254,CPC,2010-01-18
255,CPH,2017-02-08
256,CPI,2017-07-28
257,CQN,2020-08-18
258,CQT,2016-11-01
259,CRC,2018-08-07
260,CRE,2018-08-10
261,CSC,2009-11-04
262,CSI,2019-03-15
263,CSM,2009-08-04
264,CST,2021-04-26
265,CSV,2015-02-24
266,CT3,2009-11-20
267,CT6,2020-05-15
268,CTA,2019-12-20
269,CTB,2006-10-10
270,CTC,2008-07-18
271,CTD,2009-12-09
272,CTF,2017-05-11
273,CTG,2009-07-09
274,CTI,2010-02-10
275,CTN,2016-05-26
276,CTP,2016-07-28
277,CTR,2021-12-27
278,CTS,2017-06-13
279,CTT,2015-07-17
280,CTW,2016-09-30
281,CTX,2023-12-26
282,CVN,2010-08-06
283,CVT,2017-09-25
284,CX8,2006-05-19
285,CYC,2017-05-22
286,D11,2011-02-25
287,D2D,2009-06-24
288,DAC,2016-04-08
289,DAD,2009-08-19
290,DAE,2006-12-28
291,DAG,2010-03-01
292,DAH,2016-09-30
293,DAN,2021-12-22
294,DAS,2014-09-25
295,DAT,2015-10-06
296,DBC,2019-07-08
297,DBD,2018-05-24
298,DBM,2009-12-17
299,DBT,2020-08-04
300,DC1,2016-07-19
301,DC2,2010-07-02
302,DC4,2020-09-04
303,DCF,2017-01-12
304,DCG,2018-12-14
305,DCH,2018-04-23
306,DCL,2008-09-03
307,DCM,2015-03-20
308,DCR,2018-10-08
309,DCS,2019-05-31
310,DCT,2016-04-07
311,DDG,2018-12-18
312,DDH,2016-06-30
313,DDM,2014-12-15
314,DDN,2009-06-24
315,DDV,2015-06-10
316,DFC,2017-01-12
317,DFF,2021-07-08
318,DGC,2020-07-07
319,DGT,2010-03-09
320,DGW,2015-07-24
321,DHA,2004-04-12
322,DHB,2017-07-26
323,DHC,2009-06-18
324,DHD,2017-05-05
325,DHG,2006-12-01
326,DHM,2012-07-11
327,DHN,2018-04-19
328,DHP,2013-03-21
329,DHT,2008-12-03
330,DIC,2020-08-18
331,DID,2020-06-04
332,DIG,2009-08-12
333,DIH,2011-04-27
334,DKC,2020-07-14
335,DL1,2010-03-10
336,DLD,2011-04-08
337,DLG,2010-06-14
338,DLM,
339,DLR,2019-05-31
340,DLT,2015-11-16
341,DM7,2018-10-15
342,DMC,2006-12-04
343,DMN,2021-11-22
344,DMS,2023-06-15
345,DNA,2017-10-19
346,DNC,2009-12-23
347,DND,2016-11-09
348,DNE,2017-04-05
349,DNH,2017-06-19
350,DNL,2011-08-18
351,DNM,2023-08-07
352,DNN,2017-07-17
353,DNP,2009-06-19
354,DNT,2020-02-24
355,DNW,2016-03-16
356,DOC,2016-12-19
357,DOP,2015-10-30
358,DP1,2018-06-12
359,DP2,2017-05-19
360,DP3,2015-07-17
361,DPC,2024-05-28
362,DPG,2018-05-09
363,DPH,2017-01-20
364,DPM,2007-10-29
365,DPP,2010-05-19
366,DPR,2007-11-22
367,DPS,2021-07-02
368,DQC,2008-02-14
369,DRC,2006-11-28
370,DRG,2019-12-11
371,DRH,2010-07-13
372,DRI,2017-05-23
373,DRL,2012-03-30
374,DS3,2017-08-21
375,DSC,2024-09-24
376,DSD,2022-05-17
377,DSG,2017-08-11
378,DSN,2010-09-17
379,DSP,2018-10-17
380,DST,2007-10-16
381,DSV,
382,DTA,2010-06-30
383,DTB,2019-07-22
384,DTC,2021-11-16
385,DTD,2017-11-16
386,DTE,2020-12-31
387,DTG,2023-07-12
388,DTH,2022-04-18
389,DTI,2018-01-05
390,DTK,2020-12-25
391,DTL,2010-05-28
392,DTP,2020-06-18
393,DTT,2006-12-06
394,DTV,
395,DUS,2020-01-08
396,DVC,2013-12-13
397,DVG,2024-09-06
398,DVM,2022-07-19
399,DVN,2017-05-19
400,DVP,2009-11-24
401,DVW,2018-06-06
402,DWC,2021-12-22
403,DWS,2019-01-24
404,DXG,2009-12-14
405,DXL,2010-06-28
406,DXP,2009-06-08
407,DXS,2021-06-25
408,DXV,2008-01-24
409,DZM,2024-02-19
410,E12,2019-12-31
411,E29,2019-11-05
412,EBS,2006-12-21
413,ECI,2009-06-16
414,EFI,2017-04-24
415,EIB,2009-10-20
416,EIC,2017-02-28
417,EID,2009-08-11
418,EIN,2017-03-16
419,ELC,2010-10-05
420,EME,2017-07-17
421,EMG,2017-02-16
422,EMS,2018-01-05
423,EPC,2018-10-03
424,EPH,2017-12-21
425,EVE,2010-11-30
426,EVF,2021-12-21
427,EVG,2017-05-26
428,EVS,2019-06-26
429,FBA,2011-02-18
430,FBC,2017-10-20
431,FCC,2016-05-09
432,FCM,2013-05-08
433,FCN,2012-07-18
434,FCS,2017-03-03
435,FDC,2009-12-25
436,FGL,2018-09-14
437,FHN,2017-12-29
438,FHS,2018-11-01
439,FIC,2018-08-02
440,FID,2015-05-20
441,FIR,2018-10-04
442,FIT,2015-08-07
443,FLC,2013-07-29
444,FMC,2006-10-20
445,FOC,2018-12-10
446,FOX,2017-01-13
447,FPT,2006-11-21
448,FRC,2018-07-26
449,FRM,2017-11-24
450,FRT,2018-04-17
451,FSO,2017-02-06
452,FT1,2017-09-27
453,FTI,2017-10-27
454,FTM,2022-05-26
455,FTS,2017-01-05
456,G20,2017-07-28
457,G36,2016-12-26
458,GAB,2019-07-03
459,GAS,2012-04-27
460,GCB,2016-12-28
461,GCF,2022-12-20
462,GDA,2023-09-07
463,GDT,2009-11-03
464,GDW,2018-12-18
465,GEE,2024-07-02
466,GEG,2019-08-28
467,GER,2010-06-01
468,GEX,2017-12-28
469,GGG,2014-08-15
470,GH3,2021-08-04
471,GHC,2011-04-26
472,GIC,2020-11-06
473,GIL,2001-12-28
474,GKM,2017-07-17
475,GLC,2019-01-09
476,GLT,2009-11-26
477,GLW,2018-01-08
478,GMA,2020-12-01
479,GMC,2006-12-06
480,GMD,2002-03-08
481,GMH,2021-12-30
482,GMX,2011-09-15
483,GND,2017-02-21
484,GPC,2023-01-06
485,GSM,2015-04-08
486,GSP,2011-12-20
487,GTA,2007-07-04
488,GTD,2016-12-16
489,GTS,2016-10-21
490,GTT,2016-06-07
491,GVR,2019-12-30
492,GVT,2017-01-12
493,H11,2011-04-28
494,HAC,2016-10-18
495,HAD,2009-10-27
496,HAF,2017-07-24
497,HAG,2008-12-15
498,HAH,2015-01-21
499,HAI,2010-04-07
500,HAM,2017-08-21
501,HAN,2016-10-20
502,HAP,2000-08-02
503,HAR,2013-01-10
504,HAS,2002-12-18
505,HAT,2010-10-29
506,HAV,2017-11-30
507,HAX,2006-12-13
508,HBC,2024-09-18
509,HBD,2013-09-16
510,HBH,2017-08-10
511,HBS,2010-07-16
512,HC1,2020-01-06
513,HC3,2017-07-11
514,HCB,2019-12-18
515,HCC,2007-12-24
516,HCD,2016-06-27
517,HCI,2010-09-17
518,HCM,2009-04-20
519,HCT,2007-11-27
520,HD2,2016-05-16
521,HD6,2020-11-23
522,HD8,2019-03-15
523,HDA,2010-12-27
524,HDB,2017-12-25
525,HDC,2007-09-25
526,HDG,2010-01-19
527,HDM,2010-01-21
528,HDO,2017-06-02
529,HDP,2017-03-16
530,HDW,2017-11-03
531,HEC,2016-12-21
532,HEJ,2017-07-14
533,HEM,
534,HEP,2017-12-15
535,HES,2016-12-07
536,HEV,2007-12-11
537,HFB,2017-03-30
538,HFC,2010-03-01
539,HFX,2011-11-10
540,HGM,2009-12-21
541,HGT,2020-10-15
542,HGW,
543,HHC,2007-11-20
544,HHG,2023-05-09
545,HHN,2016-12-16
546,HHP,2020-12-24
547,HHR,
548,HHS,2011-12-13
549,HHV,2021-12-23
550,HID,2016-06-22
551,HIG,2009-06-24
552,HII,2017-06-14
553,HJC,2015-10-14
554,HJS,2006-12-20
555,HKB,2021-07-28
556,HKT,2017-01-12
557,HLA,2015-04-01
558,HLB,2017-02-08
559,HLC,2009-03-05
560,HLD,2013-03-26
561,HLR,
562,HLS,2017-10-16
563,HLT,2019-12-27
564,HLY,2021-04-28
565,HMC,2006-11-28
566,HMG,2016-09-09
567,HMH,2010-07-28
568,HMR,2022-01-13
569,HMS,2017-06-05
570,HNA,2023-12-01
571,HNB,2015-10-22
572,HND,2016-10-05
573,HNF,2015-11-03
574,HNG,2024-09-10
575,HNI,2017-12-12
576,HNM,2020-06-19
577,HNP,2016-12-20
578,HNR,2018-06-08
579,HOM,2009-07-09
580,HOT,2011-07-13
581,HPB,2010-04-29
582,HPD,2015-06-11
583,HPG,2007-10-31
584,HPH,2017-12-28
585,HPI,2017-10-05
586,HPM,2022-08-03
587,HPP,2010-08-05
588,HPT,2010-06-17
589,HPW,2016-11-21
590,HPX,2018-07-02
591,HQC,2010-10-12
592,HRB,2017-11-06
593,HRC,2006-11-22
594,HRT,
595,HSA,2017-01-23
596,HSG,2008-11-05
597,HSI,2015-05-11
598,HSL,2018-04-26
599,HSM,2018-04-19
600,HSP,2020-03-30
601,HSV,2021-04-27
602,HT1,2007-10-31
603,HTC,2010-05-07
604,HTE,2017-07-24
605,HTG,2023-10-31
606,HTI,2010-12-09
607,HTL,2010-10-19
608,HTM,2018-05-04
609,HTN,2018-10-24
610,HTP,2024-08-09
611,HTR,
612,HTT,2020-06-26
613,HTV,2005-12-07
614,HU1,2011-10-20
615,HU3,2011-03-02
616,HU4,2016-01-29
617,HU6,2015-11-19
618,HUB,2018-12-18
619,HUG,2017-12-18
620,HUT,2008-04-11
621,HVA,2020-03-17
622,HVG,2020-08-13
623,HVH,2018-11-20
624,HVN,2019-04-11
625,HVT,2009-05-08
626,HVX,2010-08-31
627,HWS,2018-07-27
628,IBC,2017-12-06
629,IBD,2019-05-24
630,ICC,2016-06-01
631,ICF,2019-05-20
632,ICG,2009-04-21
633,ICI,2010-07-06
634,ICN,2015-06-12
635,ICT,2019-12-27
636,IDC,2019-12-10
637,IDI,2011-05-17
638,IDJ,2010-09-13
639,IDP,2021-01-07
640,IDV,2010-06-01
641,IFS,2016-11-16
642,IHK,2010-03-04
643,IJC,2010-04-05
644,ILA,2017-11-28
645,ILB,2019-05-07
646,ILC,2018-08-10
647,ILS,2018-03-19
648,IME,2009-12-01
649,IMP,2006-11-15
650,IN4,2010-05-19
651,INC,2011-07-14
652,INN,2010-01-22
653,IPA,2021-11-01
654,IRC,2018-01-22
655,ISG,2015-09-22
656,ISH,2015-06-29
657,IST,2017-01-05
658,ITA,2006-01-11
659,ITC,2009-09-24
660,ITD,2011-12-13
661,ITQ,2012-10-01
662,ITS,2015-12-18
663,IVS,2011-08-01
664,JOS,2017-07-28
665,JVC,2011-06-01
666,KAC,2019-09-16
667,KBC,2009-12-07
668,KCB,2015-12-01
669,KCE,2011-02-08
670,KDC,2005-11-18
671,KDH,2010-01-21
672,KDM,2016-03-29
673,KGM,2017-09-21
674,KHD,2016-12-22
675,KHG,2021-06-30
676,KHL,2018-06-08
677,KHP,2006-12-08
678,KHS,2017-12-26
679,KHW,2017-02-20
680,KIP,2016-04-12
681,KKC,2008-08-21
682,KLB,2017-06-29
683,KLF,2024-02-19
684,KLM,
685,KMR,2008-06-23
686,KMT,2009-08-10
687,KOS,2019-07-08
688,KPF,2016-02-18
689,KSB,2009-12-17
690,KSD,2010-04-28
691,KSF,2021-10-06
692,KSH,2019-09-19
693,KSQ,2013-07-26
694,KST,2010-12-29
695,KSV,2023-02-02
696,KTC,2018-06-22
697,KTL,2015-01-14
698,KTS,2011-06-01
699,KTT,2010-10-28
700,KTW,2024-01-08
701,KVC,2023-05-25
702,L10,2007-12-11
703,L12,2017-01-03
704,L14,2011-09-13
705,L18,2008-04-23
706,L35,2023-05-31
707,L40,2021-01-27
708,L43,2024-05-31
709,L44,2018-06-08
710,L45,2016-10-20
711,L61,2024-05-30
712,L62,2024-06-05
713,L63,2016-10-06
714,LAF,2000-12-11
715,LAI,2015-08-10
716,LAS,2012-03-01
717,LAW,2015-12-21
718,LBC,
719,LBE,2008-02-22
720,LBM,2006-11-30
721,LCC,2010-05-06
722,LCD,2010-11-15
723,LCG,2008-10-17
724,LCM,2011-09-08
725,LCS,2023-05-15
726,LDG,2015-08-05
727,LDP,2010-07-20
728,LDW,2018-03-16
729,LEC,2017-06-05
730,LG9,2017-12-18
731,LGC,2006-11-29
732,LGL,2009-09-23
733,LGM,2019-12-18
734,LHC,2010-01-13
735,LHG,2010-03-15
736,LIC,2017-06-05
737,LIG,2010-04-22
738,LIX,2009-12-01
739,LKW,2012-07-04
740,LLM,2017-08-16
741,LM3,2015-06-01
742,LM7,2023-05-31
743,LM8,2010-11-05
744,LMC,2017-09-21
745,LMH,2020-06-29
746,LMI,2017-07-20
747,LNC,2019-07-04
748,LO5,2021-05-13
749,LPB,2020-10-14
750,LPT,2021-04-08
751,LQN,2016-11-01
752,LSG,2022-05-12
753,LSS,2007-12-21
754,LTC,2019-07-05
755,LTG,2017-07-24
756,LUT,2023-07-03
757,M10,2018-01-10
758,MA1,2020-06-29
759,MAC,2009-12-24
760,MAS,2014-07-15
761,MBB,2011-10-18
762,MBG,2015-11-26
763,MBN,2018-10-03
764,MBS,2016-03-28
765,MCC,2010-04-26
766,MCD,
767,MCF,2011-02-14
768,MCG,2009-09-16
769,MCH,2017-01-05
770,MCI,
771,MCM,2024-05-24
772,MCO,2006-12-21
773,MCP,2006-12-18
774,MDA,2018-01-10
775,MDC,2009-07-23
776,MDF,2011-02-25
777,MDG,2011-01-05
778,MEC,2020-06-02
779,MED,2020-03-18
780,MEF,2011-11-30
781,MEL,2017-09-27
782,MES,2016-12-12
783,MFS,2019-04-16
784,MGC,2016-06-09
785,MGG,2017-11-06
786,MGR,2022-04-28
787,MH3,2017-03-06
788,MHC,2004-12-31
789,MHL,2024-09-20
790,MIC,2015-01-12
791,MIE,2017-12-15
792,MIG,2020-12-30
793,MIM,2024-02-19
794,MKP,2018-01-29
795,MKV,2008-11-21
796,MLC,2017-05-23
797,MLS,2018-06-15
798,MML,2019-12-09
799,MNB,2018-04-24
800,MND,2017-08-11
801,MPC,2017-10-16
802,MPT,2021-06-02
803,MPY,2017-05-15
804,MQB,2017-11-08
805,MQN,2018-06-22
806,MRF,2017-12-12
807,MSB,2020-12-14
808,MSH,2018-11-20
809,MSN,2009-10-30
810,MSR,2015-09-17
811,MST,2016-05-10
812,MTA,2015-10-21
813,MTB,2020-12-10
814,MTC,2012-08-17
815,MTG,2015-06-25
816,MTH,2011-02-10
